audio1|The two neighbouring countries also agreed to allow cross-border travel on compassionate grounds in the coming months.
audio2|The two ministers had a constructive discussion on the national vaccination
audio3|out plans that are under way in both countries and discussed how this could facilitate
audio4|The operational details of the Reciprocal Recognition of Vaccine Certificate, including the detailed requirements, health protocols, and application process involved for entry and exit into Malaysia and Singapore
audio5|The ministers also reviewed bilateral cooperation and looked forward to strengthening cooperation to stimulate recovery from the effects of the global pandemic
audio6|highlighted the importance of strengthening mutually beneficial cooperation in overcoming common challenges brought about by the Covid-19 pandemic
audio7|It had also failed to implement a system to document checks on diving equipment before they were used
audio8|Investigations further revealed that no standby diver was appointed in the case of an emergency
audio9|Should a diver encounter an emergency situation, such as loss of consciousness, it would not be picked up by the buddy diver immediately
audio10|Swabbing stations were set up at a hostel at the National University of Singapore on Tuesday morning after
audio11|University Town affected by the move have been told they would have to remain indoors until results are out.
audio12|A cordon has also been placed around the units from the rest of the hostel.
audio13|In a letter addressed to the affected students, seen by The Straits Times, NUS said the Health Ministry requires all residents in these apartments
audio14|Students have to proceed to the foyer to undergo the tests in allocated slots between noon and 4pm on Tuesday with their mobile phone
audio15|Your swab test result will be known in two to three days. After which, we will provide further guidance depending on the result of the swab test
audio16|Meanwhile, affected students were instructed to attend lessons online.
audio17|They can leave the hostel room briefly for essential activities like using the bathroom, doing laundry and accepting food orders.
audio18|They were also told to declare their temperature twice a day through an NUS online platform and avoid physical contact with others.
audio19|Students spoke to from North Tower said that most residents there are international and postgraduate students.
audio20|Most units have four bedrooms, a shared bathroom and a pantry area, they said.
audio21|While travelling back to the hostel, they are to wind down the windows of cars they are in and avoid taking public transport.
audio22|Staff and students were informed of the incident in separate circulars.
audio23|The university has had a wastewater surveillance programme in place at all its hostels since December seven last year
audio24|The swab test has to be performed swiftly to identify whether there are other residents who may be or had been infected with Covid-19
audio25|This is so that we can provide immediate medical care and support, while taking the necessary steps to cut the transmission of Covid-19
audio26|Please remain calm, comply with the precautionary measures outlined above, and do not spread unverified information
audio27|There were no community cases and no cases from migrant workers' dormitories.
audio28|The last local transmission here was reported on March twelve.
audio29|More details will be announced on Tuesday night.
audio30|All twelve cases were imported and tested positive after being placed on stay-home notices.
audio31|The Briton was here on a short-term visit pass to visit a family member.
audio32|The eleven other cases comprise a dependant's pass holder and two work pass holders who had come from Indiaa
audio33|six work permit holders who had travelled from Bangladesh and India
audio34|She dies right after giving birth to him
audio35|He is sent to the orphanage, where he and the other orphans are treated terribly and fed very little
audio36|When he turns nine, he is sent to the workhouse, where again he and the others are treated badly and practically starved
audio37|The other boys, unable to stand their hunger any longer, decide to draw straws to choose who will have to go up and ask for more food
audio38|Oliver loses. On the appointed day, after finishing his first serving of gruel, he goes up and asks for more
